sentence1	sentence2	paraphrase_types	sentence1_segment_location	sentence2_segment_location	sentence1_tokenized	sentence2_tokenized	id
Emeryville-based Ask Jeeves agreed to sell a business software division to a Sunnyvale-based rival, Kanisa, for $4.25 million.	Ask Jeeves Wednesday announced it plans to sell its enterprise software division, Jeeves Solutions, to Kanisa.	[1, 2, 6, 7, 0, 0, 0]	[7, 7, 7, 1, 7, 7, 2, 2, 7, 7, 7, 7, 7, 7, 0, 7, 0, 7, 7, 7, 7, 7]	[7, 7, 7, 7, 0, 1, 7, 7, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7]	['Emeryville-based', 'Ask', 'Jeeves', 'agreed', 'to', 'sell', 'a', 'business', 'software', 'division', 'to', 'a', 'Sunnyvale-based', 'rival', ',', 'Kanisa', ',', 'for', '$', '4.25', 'million', '.']	['Ask', 'Jeeves', 'Wednesday', 'announced', 'it', 'plans', 'to', 'sell', 'its', 'enterprise', 'software', 'division', ',', 'Jeeves', 'Solutions', ',', 'to', 'Kanisa', '.\n']	0f4eb6ed75fb4ad8925326acb3ace728
The company is in the early stages of testing the drug for rheumatoid arthritis.	The company is also testing its cancer drug Rituxan for use by rheumatoid arthritis patients.	[2, 6, 7, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7]	[0, 0, 0, 7, 0, 2, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]	['The', 'company', 'is', 'in', 'the', 'early', 'stages', 'of', 'testing', 'the', 'drug', 'for', 'rheumatoid', 'arthritis', '.']	['The', 'company', 'is', 'also', 'testing', 'its', 'cancer', 'drug', 'Rituxan', 'for', 'use', 'by', 'rheumatoid', 'arthritis', 'patients', '.\n']	5734fb7619e0448799033a8709bc0268
Before addressing the economy, Bush discussed the terrorist attacks in Saudi Arabia, which killed as many as 29 people, including seven Americans.	The president began his speech by acknowledging the terrorist attacks in Saudi Arabia that killed at least 29 people, including seven Americans.	[2, 6, 7, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 2, 7, 6, 6, 6, 6, 6, 6, 0, 2, 6, 2, 2, 2, 6, 6, 6, 6, 6, 6, 6]	[2, 2, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 2, 6, 2, 2, 6, 6, 6, 6, 6, 6, 6]	['Before', 'addressing', 'the', 'economy', ',', 'Bush', 'discussed', 'the', 'terrorist', 'attacks', 'in', 'Saudi', 'Arabia', ',', 'which', 'killed', 'as', 'many', 'as', '29', 'people', ',', 'including', 'seven', 'Americans', '.']	['The', 'president', 'began', 'his', 'speech', 'by', 'acknowledging', 'the', 'terrorist', 'attacks', 'in', 'Saudi', 'Arabia', 'that', 'killed', 'at', 'least', '29', 'people', ',', 'including', 'seven', 'Americans', '.\n']	a3571fa2562f4d07a42644f2943453dc
The most recent was in 1998, when Dr Barnett Slepian was killed in his home in Amherst, New York.	The most recent killing was in 1998, when Dr. Barnett Slepian was shot and killed in his home in Amherst, N.Y.	[2, 6, 7, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 2, 2, 7]	[0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 2, 0]	['The', 'most', 'recent', 'was', 'in', '1998', ',', 'when', 'Dr', 'Barnett', 'Slepian', 'was', 'killed', 'in', 'his', 'home', 'in', 'Amherst', ',', 'New', 'York', '.']	['The', 'most', 'recent', 'killing', 'was', 'in', '1998', ',', 'when', 'Dr.', 'Barnett', 'Slepian', 'was', 'shot', 'and', 'killed', 'in', 'his', 'home', 'in', 'Amherst', ',', 'N.Y', '.\n']	082d089332f94e878a908f9b2deee535
Another brother, Ali Imron, was sentenced to life in prison after cooperating with investigators and showing remorse.	Another brother, Ali Imron, received a life sentence after he cooperated with the authorities and expressed remorse.	[1, 2, 6, 0, 0, 0, 0]	[6, 6, 6, 6, 6, 6, 0, 1, 0, 0, 0, 0, 6, 1, 6, 2, 6, 1, 6, 6]	[6, 6, 6, 6, 6, 6, 0, 0, 0, 1, 6, 0, 1, 6, 2, 2, 6, 1, 6, 6]	['Another', 'brother', ',', 'Ali', 'Imron', ',', 'was', 'sentenced', 'to', 'life', 'in', 'prison', 'after', 'cooperating', 'with', 'investigators', 'and', 'showing', 'remorse', '.']	['Another', 'brother', ',', 'Ali', 'Imron', ',', 'received', 'a', 'life', 'sentence', 'after', 'he', 'cooperated', 'with', 'the', 'authorities', 'and', 'expressed', 'remorse', '.\n']	7eea5f88b665450996ed7bf78fed7ff5
Westfield, which owns Galleria in Morley, also will continue discussions about the other co-owned centres such as Knox City in Melbourne, half-owned by Deutsche Bank.	Westfield also will continue discussions over the other co-owned centres, such as Knox City in Melbourne, where Deutsche Bank owns a 50 per cent stake.	[2, 5, 6, 7, 0, 0, 0]	[6, 7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 6, 6, 6]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	['Westfield', ',', 'which', 'owns', 'Galleria', 'in', 'Morley', ',', 'also', 'will', 'continue', 'discussions', 'about', 'the', 'other', 'co-owned', 'centres', 'such', 'as', 'Knox', 'City', 'in', 'Melbourne', ',', 'half-owned', 'by', 'Deutsche', 'Bank', '.']	['Westfield', 'also', 'will', 'continue', 'discussions', 'over', 'the', 'other', 'co-owned', 'centres', ',', 'such', 'as', 'Knox', 'City', 'in', 'Melbourne', ',', 'where', 'Deutsche', 'Bank', 'owns', 'a', '50', 'per', 'cent', 'stake', '.\n']	8f1b7e774546400994f255b3d951bac4
The truck carried the equivalent of 1.6 tons of TNT, emergency ministry official Ruslan Khadzhiyev said.	Another Chechen emergency ministry official, Ruslan Khadzhiyev, said the truck was carrying the equivalent of 1.6 tons of TNT.	[1, 5, 6, 7, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]	['The', 'truck', 'carried', 'the', 'equivalent', 'of', '1.6', 'tons', 'of', 'TNT', ',', 'emergency', 'ministry', 'official', 'Ruslan', 'Khadzhiyev', 'said', '.']	['Another', 'Chechen', 'emergency', 'ministry', 'official', ',', 'Ruslan', 'Khadzhiyev', ',', 'said', 'the', 'truck', 'was', 'carrying', 'the', 'equivalent', 'of', '1.6', 'tons', 'of', 'TNT', '.\n']	9db9f40bcb2b40579adc997e700d1e9e
Inhibited children tend to be timid with new people, objects, and situations, while uninhibited children spontaneously approach them.	Simply put, shy invividuals tend to be more timid with new people and situations.	[2, 6, 7, 0, 0, 0, 0]	[2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[7, 7, 7, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	['Inhibited', 'children', 'tend', 'to', 'be', 'timid', 'with', 'new', 'people', ',', 'objects', ',', 'and', 'situations', ',', 'while', 'uninhibited', 'children', 'spontaneously', 'approach', 'them', '.']	['Simply', 'put', ',', 'shy', 'invividuals', 'tend', 'to', 'be', 'more', 'timid', 'with', 'new', 'people', 'and', 'situations', '.\n']	7298630e855d48878d84752689da257b
The Dow Jones Industrial Average was up 0.3 per cent at 9,886.75, while the Nasdaq Composite index was 0.4 per cent higher at 1,986.97.	On Wall Street, the Dow Jones Industrial Average rose 0.5 per cent at 9,905.8 and the Nasdaq Composite added 0.7 per cent at 1,995.1.	[2, 4, 6, 7, 0, 0, 0]	[4, 4, 4, 4, 4, 4, 4, 6, 4, 4, 4, 6, 4, 4, 4, 4, 4, 4, 4, 6, 4, 4, 4, 7, 6, 7]	[7, 7, 7, 7, 4, 4, 4, 4, 4, 4, 6, 4, 4, 4, 6, 4, 4, 4, 4, 4, 6, 4, 4, 6, 0, 6]	['The', 'Dow', 'Jones', 'Industrial', 'Average', 'was', 'up', '0.3', 'per', 'cent', 'at', '9,886.75', ',', 'while', 'the', 'Nasdaq', 'Composite', 'index', 'was', '0.4', 'per', 'cent', 'higher', 'at', '1,986.97', '.']	['On', 'Wall', 'Street', ',', 'the', 'Dow', 'Jones', 'Industrial', 'Average', 'rose', '0.5', 'per', 'cent', 'at', '9,905.8', 'and', 'the', 'Nasdaq', 'Composite', 'added', '0.7', 'per', 'cent', 'at', '1,995.1', '.\n']	60661b0ca25a4931933c2caf70acc6ae
"Besides the fact that Americans want to be liked, she said, there is a ""huge cost when world opinion is negative to the United States."	"Americans just want to be liked, she said, but there also is a ""huge cost"" when world opinion is negative toward the United States."	[2, 5, 6, 0, 0, 0, 0]	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]	['Besides', 'the', 'fact', 'that', 'Americans', 'want', 'to', 'be', 'liked', ',', 'she', 'said', ',', 'there', 'is', 'a', '``', 'huge', 'cost', 'when', 'world', 'opinion', 'is', 'negative', 'to', 'the', 'United', 'States', '.']	"['Americans', 'just', 'want', 'to', 'be', 'liked', ',', 'she', 'said', ',', 'but', 'there', 'also', 'is', 'a', '``', 'huge', 'cost', ""''"", 'when', 'world', 'opinion', 'is', 'negative', 'toward', 'the', 'United', 'States', '.\n']"	08b100c0cacf4221ab6aa618fd9b2fdd
It has a plus or minus 4.9 percent margin of error.	It had a margin of error of plus or minus five percentage points.	[1, 2, 3, 6, 0, 0, 0]	[6, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6]	[6, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6]	['It', 'has', 'a', 'plus', 'or', 'minus', '4.9', 'percent', 'margin', 'of', 'error', '.']	['It', 'had', 'a', 'margin', 'of', 'error', 'of', 'plus', 'or', 'minus', 'five', 'percentage', 'points', '.\n']	e86b0d1faba34a95855d3bf1c27d0ed6
In a statement later, he said it appeared his side may have fallen a bit short.	"Zilkha conceded in a statement issued today that his group may have fallen ""a bit short."""	[2, 5, 6, 7, 0, 0, 0]	[7, 7, 7, 7, 7, 2, 2, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7]	[2, 2, 7, 7, 7, 7, 7, 0, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7]	['In', 'a', 'statement', 'later', ',', 'he', 'said', 'it', 'appeared', 'his', 'side', 'may', 'have', 'fallen', 'a', 'bit', 'short', '.']	"['Zilkha', 'conceded', 'in', 'a', 'statement', 'issued', 'today', 'that', 'his', 'group', 'may', 'have', 'fallen', '``', 'a', 'bit', 'short', '.', ""''\n""]"	8cb104cebaab40d2b1aee019920334b8
"""The only thing that I know for certain is that these are bad people,"" Bush told a joint news conference with Blair."	"But he added: ""The only thing I know for certain is that these are bad people."""	[2, 5, 6, 7, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 2, 0, 0, 0, 0, 0, 0, 7]	[7, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7]	"['``', 'The', 'only', 'thing', 'that', 'I', 'know', 'for', 'certain', 'is', 'that', 'these', 'are', 'bad', 'people', ',', ""''"", 'Bush', 'told', 'a', 'joint', 'news', 'conference', 'with', 'Blair', '.']"	"['But', 'he', 'added', ':', '``', 'The', 'only', 'thing', 'I', 'know', 'for', 'certain', 'is', 'that', 'these', 'are', 'bad', 'people', '.', ""''\n""]"	d2cceef932cc4bc28fc7f1d798348f29
He had said before the meeting that he planned to urge Chinese officials to move quickly to adopt a more flexible currency system.	He has said he plans to urge Chinese officials during the G20 meeting to move more quickly to adopt a more flexible currency system.	[1, 3, 5, 6, 7, 0, 0]	[7, 5, 5, 7, 7, 7, 5, 7, 5, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 7, 7, 7]	[5, 5, 5, 5, 5, 5, 5, 5, 5, 7, 7, 7, 7, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]	['He', 'had', 'said', 'before', 'the', 'meeting', 'that', 'he', 'planned', 'to', 'urge', 'Chinese', 'officials', 'to', 'move', 'quickly', 'to', 'adopt', 'a', 'more', 'flexible', 'currency', 'system', '.']	['He', 'has', 'said', 'he', 'plans', 'to', 'urge', 'Chinese', 'officials', 'during', 'the', 'G20', 'meeting', 'to', 'move', 'more', 'quickly', 'to', 'adopt', 'a', 'more', 'flexible', 'currency', 'system', '.\n']	94bbcc8c043244cd9e043d091f1146d5
Later in the day, however, a former Intel executive turned the tables in a speech where he blasted wireless as being too complicated and too difficult to install.	And Thursday, a former Intel exec blasted wireless as too insecure, too complicated, and too difficult to install.	[2, 5, 6, 7, 0, 0, 0]	[0, 0, 0, 0, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 0, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	['Later', 'in', 'the', 'day', ',', 'however', ',', 'a', 'former', 'Intel', 'executive', 'turned', 'the', 'tables', 'in', 'a', 'speech', 'where', 'he', 'blasted', 'wireless', 'as', 'being', 'too', 'complicated', 'and', 'too', 'difficult', 'to', 'install', '.']	['And', 'Thursday', ',', 'a', 'former', 'Intel', 'exec', 'blasted', 'wireless', 'as', 'too', 'insecure', ',', 'too', 'complicated', ',', 'and', 'too', 'difficult', 'to', 'install', '.\n']	a7bc1899c593461e8c01a7c151bf514f
Since then, police divers have searched nearby parts of Long Island Sound looking for the remaining three.	Since then, police divers have searched those waters looking for the remaining three.	[2, 6, 0, 0, 0, 0, 0]	[6, 6, 6, 6, 6, 6, 6, 2, 2, 2, 2, 2, 2, 6, 6, 6, 6, 6, 6]	[6, 6, 6, 6, 6, 6, 6, 2, 2, 6, 6, 6, 6, 6, 6]	['Since', 'then', ',', 'police', 'divers', 'have', 'searched', 'nearby', 'parts', 'of', 'Long', 'Island', 'Sound', 'looking', 'for', 'the', 'remaining', 'three', '.']	['Since', 'then', ',', 'police', 'divers', 'have', 'searched', 'those', 'waters', 'looking', 'for', 'the', 'remaining', 'three', '.\n']	e3ecbbef1eb14ba6a6a2c28300862a20
Thousands of people in the South of England caught a glimpse of a lunar eclipse as they gazed up at the sky on Saturday night.	Thousands of people in the South of England caught a glimpse of the lunar eclipse as they gazed up at the night sky early today.	[2, 6, 7, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 7]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 0, 0, 6]	['Thousands', 'of', 'people', 'in', 'the', 'South', 'of', 'England', 'caught', 'a', 'glimpse', 'of', 'a', 'lunar', 'eclipse', 'as', 'they', 'gazed', 'up', 'at', 'the', 'sky', 'on', 'Saturday', 'night', '.']	['Thousands', 'of', 'people', 'in', 'the', 'South', 'of', 'England', 'caught', 'a', 'glimpse', 'of', 'the', 'lunar', 'eclipse', 'as', 'they', 'gazed', 'up', 'at', 'the', 'night', 'sky', 'early', 'today', '.\n']	295a8870f1094ef2b7f0606de3d109cb
"Meanwhile, Lt. Gov. David Dewhurst alluded to an interparty political struggle: ""Sounds like the Republican primary started early this year."""	"Lt. Gov. David Dewhurst suggested a political motive for the report, saying: ""It sounds like the Republican primary started early this year."""	[2, 6, 7, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[0, 0, 0, 0, 0, 2, 0, 0, 0, 7, 7, 7, 7, 7, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	"['Meanwhile', ',', 'Lt.', 'Gov', '.', 'David', 'Dewhurst', 'alluded', 'to', 'an', 'interparty', 'political', 'struggle', ':', '``', 'Sounds', 'like', 'the', 'Republican', 'primary', 'started', 'early', 'this', 'year', '.', ""''""]"	"['Lt.', 'Gov', '.', 'David', 'Dewhurst', 'suggested', 'a', 'political', 'motive', 'for', 'the', 'report', ',', 'saying', ':', '``', 'It', 'sounds', 'like', 'the', 'Republican', 'primary', 'started', 'early', 'this', 'year', '.', ""''\n""]"	6dda3380a1aa4ab39ee04fbcccc1ecf0
The comment period was to have expired on Monday.	A public comment period on the proposed new taxes will end on Monday.	[1, 2, 6, 7, 0, 0, 0]	[2, 6, 6, 1, 1, 1, 1, 6, 6, 6]	[2, 0, 6, 6, 0, 0, 0, 0, 0, 1, 1, 6, 6, 6]	['The', 'comment', 'period', 'was', 'to', 'have', 'expired', 'on', 'Monday', '.']	['A', 'public', 'comment', 'period', 'on', 'the', 'proposed', 'new', 'taxes', 'will', 'end', 'on', 'Monday', '.\n']	29ced136dcf14f57ab3174de0e159f06
Trading in Loral was halted yesterday; the shares closed on Monday at $3.01.	The New York Stock Exchange suspended trading yesterday in Loral, which closed at $3.01 Friday.	[2, 4, 5, 6, 0, 0, 0]	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]	['Trading', 'in', 'Loral', 'was', 'halted', 'yesterday', ';', 'the', 'shares', 'closed', 'on', 'Monday', 'at', '$', '3.01', '.']	['The', 'New', 'York', 'Stock', 'Exchange', 'suspended', 'trading', 'yesterday', 'in', 'Loral', ',', 'which', 'closed', 'at', '$', '3.01', 'Friday', '.\n']	ffd14c074abc4fd6951dfded0ff58121
In September, a 27-year-old Singapore researcher contracted SARS while working in a laboratory.	In a case in August, a 27-year-old laboratory worker in Singapore developed SARS.	[2, 3, 6, 0, 0, 0, 0]	[6, 6, 6, 3, 3, 3, 3, 2, 6, 2, 2, 2, 2, 2, 6]	[6, 6, 6, 6, 6, 6, 3, 3, 3, 3, 3, 3, 2, 6, 6]	['In', 'September', ',', 'a', '27-year-old', 'Singapore', 'researcher', 'contracted', 'SARS', 'while', 'working', 'in', 'a', 'laboratory', '.']	['In', 'a', 'case', 'in', 'August', ',', 'a', '27-year-old', 'laboratory', 'worker', 'in', 'Singapore', 'developed', 'SARS', '.\n']	fff353863c5e4f6e809ec3424b6c79d3
"Sean Harrigan of Calpers, the California fund, said: ""Today we are trying to pull the pig from the trough."	"""Today we are trying to pull the pig away from the trough,"" Mr. Harrigan said."	[2, 6, 7, 0, 0, 0, 0]	[2, 2, 7, 7, 7, 7, 7, 7, 7, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 7, 6, 7, 7, 7, 6]	['Sean', 'Harrigan', 'of', 'Calpers', ',', 'the', 'California', 'fund', ',', 'said', ':', '``', 'Today', 'we', 'are', 'trying', 'to', 'pull', 'the', 'pig', 'from', 'the', 'trough', '.']	"['``', 'Today', 'we', 'are', 'trying', 'to', 'pull', 'the', 'pig', 'away', 'from', 'the', 'trough', ',', ""''"", 'Mr.', 'Harrigan', 'said', '.\n']"	13b268ae56e04ad4a839f9c151fcddff
